"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"11","virus","epidemic","whistleblower","journal","jinping","post","club","postpone","team","cancel","championship","tokyo","festival","summer","game","initial","japans","area","medical","game","justice","tennis","play","course","announce","plan","team","class","fall","remote","football","staff","player","league","game","titan","test","league","positive","soccer","staff","basketball","team","world","announce","city","th","scientist","africa","spread","sequence","disease","uk","africa","spot","virus","detect","brazil","mutation","sample","circulate","uk","count","predict","next","biden","indoor","disease","long","risk","guidance","prevention","allow","just","week","effective","campus","county","status"
"12","spread","whistleblower","journalist","president","action","level","sport","schedule","ioc","olympic","announce","tour","politician","park","champion","bottom","scheme","world","transmission","website","plan","schedule","will","schedule","team","court","district","positive","county","game","test","positive","class","learn","staff","learn","game","fan","win","win","due","despite","positive","play","postpone","lister","conduct","australia","world","south","spread","likely","spread","identify","lab","link","team","mutation","sample","indicate","country","doom","surge","walensky","outstrip","guideline","outdoor","outdoor","prevention","fauci","shipment","indoor","setting","public","county","implement","modify","governor","staff"
"13","state","die","police","china","wall","epidemic","fan","sport","event","japans","emergency","game","japan","next","theme","anniversary","animal","pandemic","difficult","email","hold","game","club","will","enforcement","sport","plan","sport","positive","team","positive","case","among","game","return","positive","learn","field","player","student","practice","schedule","kansas","kongs","statement","organize","coverage","identify","kingdom","appear","mutation","response","case","sample","first","uk","virus","researcher","researcher","biontech","mutation","director","rochelle","cnns","expert","recommendation","still","change","mandate","vaccinate","make","sail","student","monday","cdc","vaccine","implement","everyone","regardless"
"14","almost","censorship","death","speech","political","measure","hank","positive","player","committee","tedros","program","nfl","year","brother","game","pandemic","connect","local","hong","will","college","class","university","orlando","delay","university","team","plan","will","person","person","open","season","person","kelly","league","announce","university","sport","tedros","trace","college","travel","tedros","activity","refugee","coronavirus","unite","africa","evidence","identify","mutation","virus","may","patient","disease","sample","city","brief","strain","like","cnns","variant","warn","still","center","governor","distance","drop","vaccination","require","leave","return","vaccination","student","away","texas","wear"
"15","jinping","crisis","freedom","revelation","crisis","truth","mens","tour","cancel","festival","football","hokkaido","via","japanese","train","letter","africa","logistic","formula","schedule","uefa","organizer","positive","semester","shield","allow","philadelphia","season","teacher","teacher","member","athletic","bannister","start","postpone","hall","schedule","play","resume","result","october","quarantine","act","tournament","saint","dc","universal","detect","scientist","easily","uk","appear","brazil","brazil","african","report","forecast","detect","find","week","fast","virus","now","see","just","expect","watch","get","guideline","long","see","take","work","federal","begin","mitigation","face","face","face"
"16","central","delete","chens","effort","emergency","purchase","ncaa","jazz","japan","football","mlb","town","launch","annual","hassett","speech","sport","cabinet","intense","official","instead","marathon","pride","return","rule","person","decision","person","will","test","league","quarantine","faculty","michigan","positive","test","community","florida","league","without","schedule","annual","tournament","chp","season","football","call","researcher","detect","sample","know","first","minnesota","find","walensky","first","identify","cell","virus","trend","school","another","good","carlos","race","get","mandate","guideline","outdoor","within","surge","advise","electronic","beyond","july","health","community","release","covering"
"17","party","doctor","qiushi","whistleblower","beijing","doctor","premier","ioc","international","stadium","postpone","season","concert","mori","supreme","organization","bach","close","point","olympic","schedule","tournament","test","orlando","safety","return","person","open","conference","season","county","league","teach","attend","fall","class","postpone","reschedule","schedule","county","continue","fan","unlv","yau","saturday","athletic","cancel","concern","identify","kerkhove","new","south","novavax","lab","appear","mutation","york","model","previously","unite","director","state","michigan","continue","number","announcement","really","prevention","update","continue","us","ship","player","lockdowns","monday","offer","find","person","angeles"
"18","monday","december","speech","information","whistleblower","china","formula","athlete","shinzo","feel","nba","japanese","story","strong","political","response","abe","single","guidance","distance","fall","pride","orlando","game","campus","game","campus","letter","staff","quarantine","fall","among","report","week","player","york","titan","tennessee","result","field","test","proof","saturday","recent","billion","risk","global","reed","know","van","scientist","britain","spot","participant","already","factor","response","unite","coronavirus","virus","already","mask","like","many","dangerous","update","likely","child","us","adult","anthony","decision","californians","problem","half","staff","will","executive","college"
"19","level","platform","social","beijings","battle","effort","match","pga","paralympic","international","summer","emergency","hold","pandemic","fan","entertainment","guest","emergency","mass","campus","july","statement","online","ml","football","announce","learn","league","class","staff","faculty","week","campus","quarantine","class","league","oct","staff","college","since","world","island","protocol","host","chuang","three","exist","evidence","antibody","lead","africa","team","protection","detect","unite","circulate","sample","concern","preliminary","mayor","recent","say","state","get","continue","control","guideline","people","think","indoor","re","update","hour","rule","now","update","take","covering","announce"
"20","week","target","crisis","opinion","doctor","read","womens","abe","decision","edinburgh","date","guaido","game","french","disneyland","japanese","investment","brazilian","event","area","protocol","email","nba","staff","nba","berkeley","fall","division","georgia","aug","learn","letter","case","staff","outbreak","live","person","series","coach","back","announce","diwali","ncaa","leader","thunder","play","problem","impose","evidence","study","world","immune","circulate","ihme","transmissible","brazil","see","circulate","datum","show","record","know","go","august","high","disease","dr","can","cdc","prevention","ship","think","transportation","school","state","fall","organization","encourage","florida"
"21","sars","control","miss","doctor","development","public","suspend","test","reschedule","nhk","will","offseason","next","season","brand","belarus","immunization","near","tokyo","host","summer","almojera","tournament","protocol","attorney","race","nba","safety","college","instruction","universitys","sept","football","fall","season","classroom","university","coach","exposure","world","medical","status","ohio","team","schedule","ban","access","kerkhove","effective","denmark","infect","either","study","study","find","unite","concern","sequence","infectious","detect","first","summer","cdc","spread","mean","prevention","camp","control","requirement","week","large","need","mandate","transmission","become","disease","determine","visitor","quarantine"
"22","full","become","try","major","li","million","football","fan","season","shinzo","japanese","workout","tokyo","japan","due","taiwan","million","wild","recommendation","summer","cancel","cancel","major","statement","nfl","season","sport","reopen","education","return","instruction","aug","website","plan","county","union","staff","lincoln","district","tuesday","quarantine","love","university","protection","investment","schedule","initiative","travel","mutation","disease","study","evade","unite","previously","contagious","see","represent","us","across","circulate","pandemic","warn","strain","rio","official","center","people","distance","circumstance","last","mandate","get","access","trump","department","recommend","transportation","gov","university"
