"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"11","close","staff","visitor","enter","two","work","campus","store","population","state","church","student","year","county","california","maximum","school","guideline","can","open","capacity","order","mask","close","dine","order","order","mandate","duke","office","restaurant","force","curfew","wear","must","gathering","georgia","bar","bar","premier","announce","measure","bar","case","england","activity","december","sunday","travel","ministry","pm","positive","flight","airport","rule","ban","household","six","gym","europe","authority","curfew","authority","new","parliament","ban","flight","flight","disney","security","eu","support","cruise","air","amount","pharmaceutical","travel","attend","happen"
"12","holiday","member","close","man","statement","family","online","employee","court","texas","cook","school","close","distance","order","rule","gym","allow","bar","bar","outdoor","mask","indoor","reopen","reopen","executive","zone","indoor","outdoor","mandate","measure","will","seat","restaurant","indoor","reopen","curfew","level","local","pm","region","leave","measure","singapore","restaurant","pm","flight","kingdom","detect","quarantine","british","hotel","suspend","federal","game","day","april","describe","back","passenger","germany","macron","home","erdogan","measure","curfew","citizen","india","red","send","cdc","time","airplane","enter","fine","please","macron","capitol","similar"
"13","kongs","close","financial","quarantine","government","clean","work","closure","april","desantis","prison","garcetti","recommend","close","wear","california","restriction","dc","open","phase","order","guideline","mayor","distance","allow","cover","rule","distance","island","gym","school","zone","mask","netanyahu","england","merkel","limit","restaurant","ireland","announce","pm","wale","require","business","limit","december","pm","traveler","foreign","limit","arrival","tournament","passenger","australia","fan","curfew","european","kurz","standard","certificate","lockdown","outdoor","hospital","restriction","will","certificate","allow","prime","restaurant","friday","arrive","require","will","end","administration","classroom","fast","issue","unite"
"14","city","hospital","announce","two","news","class","home","company","effective","close","park","court","jail","face","close","museum","order","business","seat","beach","retail","dine","dine","face","wear","requirement","milwaukee","fine","gathering","birx","business","cell","wear","order","measure","suarez","move","will","prime","melbourne","party","allow","australian","limit","ban","extend","uk","suspend","minister","region","pcr","lift","country","restriction","arrive","ascension","country","remain","break","capacity","strict","school","allow","limit","hour","june","will","reopen","nepali","june","orange","federal","canada","march","federal","bourla","europe","medical","allergy"
"15","measure","carrie","hospital","mongolia","apply","education","spring","google","gov","issue","lightfoot","will","state","gov","allow","visitor","guideline","social","activity","will","plan","county","park","mayor","distance","card","hong","rule","san","wear","covering","mandate","september","visitor","limit","outdoor","open","england","strict","measure","restaurant","indoor","stevens","place","street","wyoming","case","new","kingdom","will","allow","border","measure","pm","air","flight","allow","leave","school","venue","area","allow","pm","germany","germany","traveler","arrival","conference","national","measure","red","allow","detail","olympic","country","keep","merkel","stand","high"
"16","say","vote","check","indiana","dog","elementary","start","shelter","lightfoot","abbott","chicago","covering","april","will","customer","must","social","rule","shop","limit","dine","mayor","allow","july","park","canadian","outdoor","city","citizen","september","tuesday","dine","guideline","limit","minister","oct","indoor","household","household","minister","johnson","outdoor","business","area","event","must","will","impose","arrive","prisoner","traveler","grand","olympic","flight","uk","ardern","will","will","restriction","reopen","merkel","easter","bar","monday","curfew","conference","pakistan","will","border","airline","moratorium","china","mexicos","stop","mask","like","healthcare","area","moratorium"
"17","public","government","mongolia","kao","enter","company","court","reopen","chicago","executive","stayhome","practice","facility","mayor","business","phase","temperature","outdoor","mall","enter","seat","require","outdoor","require","county","will","convention","group","rule","business","wear","restaurant","miamidade","melbourne","cabinet","must","new","measure","region","remain","gathering","curfew","person","province","allow","jan","home","kent","enter","extend","curfew","slam","negative","rule","enter","will","curfew","start","chuang","maximum","northam","air","april","turkey","allow","country","anyone","country","level","são","start","domestic","result","subject","will","help","government","member","mcdonalds"
"18","macao","store","resident","school","epidemic","encourage","less","inmate","jail","california","california","stayhome","covering","student","distance","salon","class","school","museum","store","governor","gov","governor","gym","limit","rule","park","gathering","professor","location","make","phone","mayor","venue","scotland","allow","outdoor","london","place","wednesday","first","victoria","order","outdoor","kong","restaurant","christmas","test","south","france","ban","room","border","prefecture","mandatory","family","urge","meet","inslee","restriction","country","sport","province","home","enter","movement","test","area","area","traveler","easy","foreign","expose","spectator","fully","maintain","contact","regular","faculty"
"19","statement","demand","enter","ministry","urge","amazon","parent","francisco","effect","resident","executive","public","education","angeles","gov","iceland","space","open","venue","park","park","july","phase","gathering","california","dine","fine","hong","mayor","space","shelter","metro","must","force","address","wear","capacity","move","pm","sunday","bar","open","gathering","restaurant","new","curfew","suspend","minister","require","police","country","test","airline","player","require","victoria","outdoor","free","ease","apple","minister","test","measure","country","pakistan","spokesperson","holiday","ban","italy","bastian","will","lawmaker","enter","security","state","fact","hour","offer","limit"
"20","resident","action","carrie","ask","city","remote","company","meal","reopen","home","governor","jail","mask","open","plan","safety","governor","plan","park","covering","open","california","weekend","business","fair","blue","dine","baker","bar","must","coast","area","pm","county","service","seat","sri","area","impose","macron","rule","northern","authority","pm","local","measure","sydney","quarantine","arrival","border","requirement","negative","introduce","announcement","ban","traveler","test","passenger","scotland","curfew","saturday","reopen","prime","hour","uae","border","ministry","start","quarantine","province","line","port","security","flight","new","due","home","leader","cdc"
