"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"32","adhanom","near","american","cambodian","among","gavin","smith","cuban","sailor","america","esper","cuba","prefecture","bar","spring","annual","urge","city","world","cuccinelli","chris","run","australias","leave","hospital","take","hear","test","check","block","system","brazilian","life","earn","work","implementation","way","among","intensive","beyond","thank","prayer","recovery","north","international","house","today","cnngo","will","give","supply","response","top","lawmaker","request","message","milestone","parent","time","plan","beyond","number","andy","confidence","california","official","increase","people","platform","take","college","us","worker","significant","preventative","early","difficulty","us","minister"
"33","tedros","caribbean","total","line","february","fly","travis","isolation","modly","commander","sea","pacific","japanese","man","suffer","relaxation","party","event","amid","chain","graduation","scale","politician","contain","within","smell","dog","covid","death","fight","clear","room","find","advocate","close","increasingly","many","see","thousand","whole","attorney","usual","hancock","expand","invest","joe","focus","prevention","travel","gretchen","back","pandemic","day","donald","secretary","donald","jen","andy","watch","secretary","employee","note","bidens","take","plan","vaccinate","ramp","benefit","pay","official","effort","health","family","slow","sunday","biden","sometimes","tell","background"
"34","yet","fehrenbacher","fear","stick","leave","previously","transfer","tool","theodore","reserve","transport","commander","anchor","march","form","shutdown","near","economy","often","africa","dr","danger","allege","hard","spread","melbourne","jong","total","church","medical","main","story","enough","global","million","ward","decade","fear","whole","tennis","abide","shape","february","draft","country","cbp","harris","physician","long","cardiac","order","direct","jen","response","official","remark","remember","contribution","per","giroir","spokesman","read","vaccine","system","federal","blinken","outreach","meet","pelosi","vaccination","pandemic","can","south","track","throughout","fact","euro","year","enable"
"35","decide","aboard","dream","husband","result","fleet","dobbins","georgia","venezuelan","ready","require","us","camp","announcement","unite","pilot","address","trip","nation","struggle","correspondent","justice","people","two","group","symptom","defector","jair","represent","institute","senior","video","pm","austrian","walk","close","optimistic","expect","minister","obesity","jim","shipment","forecast","september","hard","vaccinate","mcenany","incoming","website","joe","hh","psaki","klain","relief","invite","andy","pass","psaki","service","mexico","murphy","fully","country","conversation","together","ramp","secretary","official","give","house","part","week","us","video","track","student","administration","president","covax"
"36","prepare","health","vessel","day","cnn","cuccinelli","will","puerto","flight","cbs","depart","air","major","stop","though","soldier","secure","context","chance","jair","secretary","illness","test","spike","saturday","infectious","state","chief","territory","key","concern","side","protect","regional","undergo","lockdowns","evidence","become","country","confuse","tool","admiral","bell","last","additional","handle","administration","white","resource","coalition","monoclonal","source","call","republican","joe","james","must","urge","cnn","day","jen","idea","plan","jeff","part","distribution","clinic","law","already","begin","incentive","dose","atlanta","america","visit","high","cdc","still","wealthy"
"37","come","royal","ravera","total","will","cdc","royal","san","wale","recruit","charter","arm","cdc","positive","compete","box","intense","dedicate","way","alabama","point","ceo","spike","night","now","type","countrys","australian","confirm","activity","despite","young","family","vaccine","prove","hh","task","numb","johns","radio","threat","divide","decide","demand","immunization","largely","come","cover","tell","presidentelect","policy","withdraw","hand","start","every","ultimately","behind","remember","war","senior","million","veran","direct","andrew","one","none","appointment","goal","help","know","give","start","talk","speech","worry","friday","year","april","vaccinate"
"38","activate","organization","allow","february","total","carnival","florida","alphabet","uss","defense","florida","member","authority","quarantine","hopeful","classify","initiative","general","especially","assistance","address","globe","surgery","home","government","cough","shire","border","publish","coronavirus","people","former","safe","special","pressure","part","underscore","welcome","sunday","defend","longterm","binaxnow","place","winter","end","summer","rep","adviser","work","conference","focus","jen","dos","office","investigation","jen","hold","america","insurance","available","take","everybody","may","call","cnns","yet","arm","million","fund","adviser","family","actively","one","forward","progress","hospitalization","complication","east","whole"
"39","today","anchor","member","charter","may","stay","flight","explorer","palace","exhibit","protocol","de","official","test","bar","dr","proper","virus","current","queen","remember","datum","africa","association","able","institution","un","elderly","capital","single","go","ago","information","responsible","pay","formally","delhi","oil","however","delfraissy","church","record","normal","simple","datum","operation","court","executive","center","advise","treatment","hold","stockpile","service","something","alarm","think","adviser","independence","will","video","acquire","weekend","despite","official","leave","drug","us","mass","combat","reach","aviation","goal","praise","sometimes","disease","receive","communication","spahn"
"40","government","dream","despite","depart","contact","trip","georgia","ige","say","individual","carlos","personnel","plan","announce","minister","decade","tom","name","affect","healthcare","positive","usually","la","africa","two","chile","kim","defense","conduct","social","economic","senior","reopen","room","still","responsible","meet","delhi","protect","domestic","zero","quick","increase","issue","future","hard","requirement","attend","service","select","provide","strategy","get","distribution","support","setting","jeff","watch","american","remark","ask","coordinator","become","know","small","come","enough","two","relief","fund","less","departure","care","acknowledge","trip","vaccine","warn","donate","israel"
"41","provide","onboard","caribbean","captain","adviser","die","previously","develop","ige","soon","celebrity","cluster","line","none","museum","city","intensify","oppose","pennsylvania","decision","foot","professor","allegation","play","even","daniel","police","renew","total","deal","decide","system","sign","year","repeat","save","trillion","cargo","prime","detainee","reason","close","challenge","president","provide","day","senior","will","uk","renew","recommend","adviser","ask","protective","help","lebanons","come","bidens","ship","everybody","zients","strategic","vaccination","life","go","today","reach","adult","remark","pay","meet","difficult","aim","trust","mark","ability","prevention","return","risk"
"42","wednesday","sea","cabin","us","deny","closure","operation","bay","carry","positive","infinity","australia","immunity","voyage","trust","rank","rush","arrival","farm","good","germany","dozen","global","live","increase","release","wear","send","cause","festival","become","difficulty","full","operation","association","sell","company","accelerate","camp","border","diagnose","harm","condition","employee","little","economic","surgeon","update","white","moncef","sweep","public","secretary","come","tradition","successfully","honor","please","partnership","commit","pm","today","announce","seek","tax","food","understand","governor","additional","pharmacy","murthy","else","free","celebrate","dramatically","able","note","fauci","accommodation"
"43","high","find","infect","wednesday","contract","sail","utah","guest","port","island","miamidade","medical","spokesperson","sail","discharge","undergo","unable","woman","resolve","organization","date","gather","particular","locate","today","facility","mask","bring","measure","electronic","countrys","lebanon","thing","treat","instead","freeze","can","socially","improve","strategy","fatigue","add","level","economy","economy","administration","american","team","us","stringent","outline","around","speed","ramp","nfl","vice","coordinator","two","question","hutchinson","pandemic","raise","can","leader","always","global","direct","program","know","greet","go","exchange","sure","ever","jen","abroad","embassy","force","vulnerable"
"44","even","olympic","hong","labour","day","february","disembarkation","location","quarantine","broward","nsw","operation","carry","guam","square","except","reproduction","save","elizabeth","county","big","member","member","saturday","new","come","prison","trump","medical","court","symptom","actor","safety","around","feel","income","tackle","corridor","san","goal","effort","shutdown","chief","country","just","dramatically","publicly","disease","house","prevention","bright","wear","tell","team","appointment","adviser","slavitt","american","economic","jen","original","andy","official","urge","goal","senior","every","issue","meet","proposal","vaccine","family","action","justice","unvaccinated","access","file","aim","moderna"
"45","announcement","coast","february","strike","line","county","diamond","request","identify","corp","medical","dock","order","truck","poland","refer","gate","deny","appearance","photo","gather","around","order","press","also","home","salvador","isolation","comment","sight","world","retire","face","lose","world","large","cut","smoke","strand","approximately","hospitalize","grow","several","food","million","venezuelan","promise","response","administration","unable","dr","state","pandemic","direct","send","challenge","plan","conversation","harris","still","adviser","icu","response","monday","lose","struggle","million","work","million","wage","launch","hour","essential","dramatically","outside","accord","can","conduct","currently"
"46","agree","bay","deny","remain","friday","board","luxor","francisco","tourist","train","release","crozier","national","onboard","business","australia","initially","victim","laborer","hogan","distance","report","guard","population","week","march","morning","distribute","use","cnn","break","step","july","keep","deliver","six","ten","rise","countys","protect","guideline","consequence","keep","service","spread","defend","plan","american","read","scottish","support","action","task","letter","federal","lawmaker","bidens","brief","may","million","cnn","operational","serve","order","tout","put","phase","hit","end","jha","one","photo","love","infrastructure","home","account","occur","determine","majority"
"47","measure","source","anthem","welfare","link","deliver","resident","anchor","fly","statement","police","mortimer","military","mine","passenger","economy","necessary","become","pandemic","amid","bed","houston","ever","provide","will","friday","central","australia","tweet","warn","low","live","outbreak","session","executive","addition","trend","concern","incorporate","asymptomatic","zone","maker","far","arabia","issue","business","will","protect","follow","immunize","think","will","sign","will","weekly","job","recently","life","top","friday","process","development","smith","michigan","interview","review","hard","hill","opt","jake","site","section","feel","normalcy","come","across","stress","analyst","begin"
